student_id,college_id,admission_id
6826,367,10826
6829,368,10823
6846,369,10222
6866,370,10023
6890,371,10694
6903,372,10155
6906,373,10247
6934,374,10341
6943,375,10157
6945,376,10160
6958,377,17930
6961,378,10091
6964,379,10479
6974,380,10644
7017,381,10116
7029,382,10825
7075,383,10226
7091,384,10696
7098,385,10671
7111,386,10303
7129,387,10109
7132,388,15088
7158,389,10062
7164,390,10534
7200,391,10766
7209,392,26404
7229,393,10478
7271,394,18875
7298,395,26405
7329,396,10015
7331,397,10653
7377,398,25280
7382,399,10194
7447,400,21718
7451,401,10358
7466,402,10328
7513,403,10217
7517,404,10218
7518,405,10077
7540,406,10289
7545,407,10195
7548,408,10312
7554,409,10356
7567,410,10075
7588,411,10243
7598,412,10268
7608,413,10190
7611,414,10145
7659,415,10128
7680,416,10080
7681,417,10365
7697,418,10130
7699,419,10242
7718,420,10138
7744,421,10012
7758,422,10008
7763,423,10313
7765,424,10146
7779,425,10238
7788,426,10101
7798,427,10244
7809,428,10123
7849,429,10013
7871,430,10359
7887,431,10055
7901,432,10549
7959,433,10126
7963,434,10083
7984,435,10184
8005,436,10173
8014,437,10170
8027,438,10149
8033,439,10240
8055,440,10309
8086,441,10333
8098,442,10331
8100,443,10806
8114,444,10002
8121,445,10131
8135,446,10264
8139,447,10239
8158,448,10364
8168,449,10035
8248,450,10335
8257,451,10800
8277,452,10275
8279,453,10269
8293,454,10106
8352,455,10100
8405,456,10246
8453,457,10031
8464,458,10192
8550,459,10011
8554,460,10259
8566,461,10354
8575,462,10104
8584,463,10135
8595,464,10245
8614,465,10033
8620,466,10353
8623,467,10014
8646,468,10082
8700,469,24491
8703,470,10150
8719,471,10172
8722,472,10288
8723,473,10317
8791,474,10216
8796,475,10210
8798,476,10330
8854,477,10084
8922,478,10057
8936,479,10212
8952,480,10266
8961,481,10223
8992,482,10058
8999,483,10241
9012,484,10147
9046,485,10105
9061,486,10284
9074,487,10332
9112,488,10133
9118,489,10193
9119,490,10151
9128,491,10037
9178,492,25219
9180,493,10056
9195,494,10221
9200,495,10285
9221,496,10028
9269,497,10010
9291,498,10085
9326,499,20954
9360,500,10314
9374,501,10129
9415,502,10179
9475,503,10127
9495,504,10265
9497,505,10357
9501,506,10032
9518,507,10215
9521,508,10334
9528,509,10053
9584,510,10263
9659,511,23725
9666,512,10078
9687,513,10211
9700,514,10107
9702,515,10009
9718,516,10261
9746,517,10040
9756,518,10041
9759,519,10286
9782,520,10809
9783,521,10556
9799,522,10283
9800,523,10191
9801,524,18870
9833,525,10148
9843,526,21719
9844,527,10455
9846,528,17929
9859,529,10219
9871,530,10329
9880,531,10132
9891,532,10306
9905,533,10103
9937,534,10454
9973,535,17927
9982,536,10059
