admission_id,grad_year,gender,ethnicity,entry_grade,FA_status,incoming_testing,incoming_gpa,boarding,faculty_child,legacy_child,sending_ms_id
10214,2021,M,European American (Caucasian),7,0,4,9.3684,FALSE,FALSE,TRUE,203
10666,2021,M,European American (Caucasian),9,0,4,8.4737,FALSE,FALSE,FALSE,307
10554,2021,F,Asian American,9,0,4,10.9318,FALSE,FALSE,FALSE,33
10646,2021,F,European American (Caucasian),8,0,4,10.7105,FALSE,FALSE,FALSE,203
10395,2021,M,European American (Caucasian),9,0,4,9.0541,FALSE,FALSE,FALSE,313
235281,2021,M,European American (Caucasian),11,1,4,10.74,FALSE,FALSE,FALSE,173
17479,2021,F,European American (Caucasian),10,0,4,10.4068,TRUE,FALSE,TRUE,106
10478,2020,M,African American,9,2,4,10.43,TRUE,FALSE,FALSE,47
10162,2020,M,European American (Caucasian),7,0,4,10.82,FALSE,FALSE,FALSE,203
10160,2020,M,European American (Caucasian),7,0,4,10.59,FALSE,TRUE,FALSE,203
10754,2020,F,European American (Caucasian),9,0,4,10.41,FALSE,FALSE,FALSE,305
10018,2020,M,Asian American,7,0,4,10.33,FALSE,FALSE,FALSE,203
10252,2020,M,European American (Caucasian),7,0,4,10.73,FALSE,FALSE,FALSE,203
10479,2020,M,Latino/Hispanic American,9,2,4,8.96,FALSE,FALSE,FALSE,193
10748,2020,F,European American (Caucasian),9,0,4,9.64,FALSE,FALSE,TRUE,76
10222,2020,M,European American (Caucasian),9,1,4,9.75,FALSE,FALSE,FALSE,241
10022,2020,F,African American,7,2,4,9.53,FALSE,FALSE,FALSE,203
16655,2020,F,European American (Caucasian),11,1,4,10.74,FALSE,FALSE,FALSE,3
10113,2020,F,African American,9,2,4,9.67,FALSE,FALSE,FALSE,251
10425,2020,F,European American (Caucasian),9,0,4,10.29,FALSE,FALSE,FALSE,76
10534,2020,F,Latino/Hispanic American,9,2,4,8.13,FALSE,FALSE,FALSE,47
15912,2020,M,Latino/Hispanic American,11,0,4,9.76,FALSE,FALSE,FALSE,135
10226,2020,M,European American (Caucasian),9,0,4,8.8,FALSE,FALSE,FALSE,307
10256,2020,M,Asian American,9,0,4,8.8,FALSE,FALSE,FALSE,13
10342,2020,F,European American (Caucasian),7,0,4,10.43,FALSE,FALSE,FALSE,203
237761,2020,F,European American (Caucasian),12,0,4,10.29,FALSE,FALSE,TRUE,296
10653,2020,M,European American (Caucasian),9,2,4,8.13,TRUE,FALSE,FALSE,342
10302,2020,F,European American (Caucasian),7,0,4,10.59,FALSE,FALSE,FALSE,203
10063,2020,M,European American (Caucasian),7,0,4,9.75,FALSE,FALSE,FALSE,203
10161,2020,M,European American (Caucasian),7,0,4,10.47,FALSE,FALSE,FALSE,203
10152,2020,M,Multiracial American,7,1,4,9.67,FALSE,FALSE,FALSE,203
18873,2020,F,European American (Caucasian),8,0,4,9.56,FALSE,FALSE,FALSE,203
10071,2020,F,European American (Caucasian),7,0,4,9.76,FALSE,FALSE,FALSE,203
15088,2020,M,European American (Caucasian),11,2,4,8.8,FALSE,FALSE,FALSE,173
10249,2020,F,European American (Caucasian),7,0,4,9.56,FALSE,FALSE,FALSE,203
10196,2020,M,European American (Caucasian),7,0,4,9.61,FALSE,FALSE,FALSE,203
10066,2020,F,Asian American,7,0,4,10.65,FALSE,FALSE,FALSE,203
25280,2020,M,Multiracial American,9,2,4,9.61,TRUE,FALSE,FALSE,207
10224,2020,M,European American (Caucasian),9,0,4,10.65,FALSE,FALSE,TRUE,302
10346,2020,F,European American (Caucasian),7,0,4,10.34,FALSE,FALSE,FALSE,203
23725,2019,F,European American (Caucasian),9,0,4,9.39,FALSE,TRUE,FALSE,80
10130,2019,F,Multiracial American,9,0,4,10.53,FALSE,FALSE,FALSE,84
10211,2019,F,European American (Caucasian),9,0,4,10.34,FALSE,FALSE,FALSE,334
10212,2019,M,European American (Caucasian),9,0,4,9.73,FALSE,FALSE,FALSE,302
18870,2019,M,European American (Caucasian),7,1,4,9.33,FALSE,FALSE,FALSE,203
10135,2019,F,Asian American,9,0,4,9.84,TRUE,FALSE,FALSE,147
10356,2019,F,European American (Caucasian),9,0,4,10.69,TRUE,FALSE,FALSE,295
10800,2019,M,European American (Caucasian),9,0,4,10.16,FALSE,FALSE,FALSE,61
10556,2019,M,European American (Caucasian),11,1,4,8.44,FALSE,FALSE,FALSE,201
10287,2019,M,Latino/Hispanic American,7,2,4,9.47,FALSE,FALSE,FALSE,203
10173,2019,F,Multiracial American,9,1,4,10.45,FALSE,FALSE,FALSE,186
10132,2019,M,African American,9,2,4,8.08,FALSE,FALSE,FALSE,19
10170,2019,F,European American (Caucasian),9,0,4,10.27,FALSE,FALSE,TRUE,249
10312,2019,F,European American (Caucasian),9,0,4,10.76,FALSE,FALSE,FALSE,334
10131,2019,M,European American (Caucasian),9,0,4,10.28,FALSE,FALSE,FALSE,330
20954,2019,F,European American (Caucasian),7,0,4,10.53,FALSE,FALSE,TRUE,203
